id_documento;equipo_categoria;fabricante;modelo;variante_version;archivo;ruta;tamano_bytes;fecha_modificacion;tipo_documento;idioma;perfil_destino;estado_curaduria;decision;motivo_decision;requiere_ocr;duplicado;documento_equivalente;responsable;observaciones
DOC-0036;;;;;fresenius_4008_service_manual.md;data/processed/fresenius_4008_service_manual.md;497052;26/5/2026 23:53;;;;;;;;;;;
DOC-0037;;;;;incubadora_medix_manual_de_usuario_incubadora_medix_tr200.md;data/processed/incubadora_medix_manual_de_usuario_incubadora_medix_tr200.md;91693;25/5/2026 16:39;;;;;;;;;;;
DOC-0038;;;;;incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.md;data/processed/incubadora_medix_manual_tecnico_incubadora_medix_natal_care_st_mx_lx.md;104595;25/5/2026 16:39;;;;;;;;;;;
DOC-0039;;;;;incubadora_medix_manual_tecnico_incubadora_medix_tr306.md;data/processed/incubadora_medix_manual_tecnico_incubadora_medix_tr306.md;124692;25/5/2026 16:39;;;;;;;;;;;
DOC-0040;;;;;ingestion_audit.sqlite3;data/processed/ingestion_audit.sqlite3;208896;26/5/2026 17:10;;;;;;;;;;;
DOC-0041;;;;;inventario_pdfs_drive_completo.csv;data/processed/inventario_pdfs_drive_completo.csv;16010;23/5/2026 01:23;;;;;;;;;;;
DOC-0042;;;;;inventario_pdfs_drive_con_hash.csv;data/processed/inventario_pdfs_drive_con_hash.csv;37093;23/5/2026 00:20;;;;;;;;;;;
DOC-0043;;;;;leica_rm2125_manual_de_usuario_microtomo_de_rotacion_leica_rm2125_rts.md;data/processed/leica_rm2125_manual_de_usuario_microtomo_de_rotacion_leica_rm2125_rts.md;98644;25/5/2026 16:39;;;;;;;;;;;
DOC-0044;;;;;leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.md;data/processed/leica_tp1020_manual_de_servicio_procesador_de_tejidos_leica_tp_1020_ingles.md;363426;25/5/2026 16:39;;;;;;;;;;;
DOC-0045;;;;;manifest_curaduria_processed_completado_fresenius.xlsx;data/processed/manifest_curaduria_processed_completado_fresenius.xlsx;24809;27/5/2026 00:23;;;;;;;;;;;
DOC-0046;;;;;monitor_multiparametrico_epm_series_compact_monitor_service_manual_v1_0_en.md;data/processed/monitor_multiparametrico_epm_series_compact_monitor_service_manual_v1_0_en.md;324589;25/5/2026 16:39;;;;;;;;;;;
DOC-0047;;;;;monitor_multiparametrico_imec_service_manual_v4_0_en.md;data/processed/monitor_multiparametrico_imec_service_manual_v4_0_en.md;204363;25/5/2026 16:39;;;;;;;;;;;
DOC-0048;;;;;monitor_multiparametrico_pm_9000_service_manual.md;data/processed/monitor_multiparametrico_pm_9000_service_manual.md;99505;25/5/2026 16:39;;;;;;;;;;;
DOC-0049;;;;;nombres_pdfs_raw_72.txt;data/processed/nombres_pdfs_raw_72.txt;5592;23/5/2026 00:29;;;;;;;;;;;
DOC-0050;;;;;pdf_name_manifest.csv;data/processed/pdf_name_manifest.csv;12031;25/5/2026 01:12;;;;;;;;;;;
DOC-0051;;;;;reporte_normalizacion_nombres_pdf.csv;data/processed/reporte_normalizacion_nombres_pdf.csv;20284;23/5/2026 14:56;;;;;;;;;;;
DOC-0052;;;;;rodantes_mac_gmm_hd_67_troubleshooting_equipos_rodantes_mac_gmm_v2.md;data/processed/rodantes_mac_gmm_hd_67_troubleshooting_equipos_rodantes_mac_gmm_v2.md;16709;25/5/2026 16:39;;;;;;;;;;;
DOC-0053;;;;;sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.md;data/processed/sterrad_100_manual_de_servicio_esterilizadora_sterrad_100_ing.md;380269;25/5/2026 16:39;;;;;;;;;;;
DOC-0054;;;;;tp_100_fg_tp_80.md;data/processed/tp_100_fg_tp_80.md;28929;25/5/2026 16:39;;;;;;;;;;;
DOC-0055;;;;;tp_100_manual_tp_100_castellano_v2.md;data/processed/tp_100_manual_tp_100_castellano_v2.md;144173;25/5/2026 16:39;;;;;;;;;;;
DOC-0056;;;;;tp_100_plano_electrico_tp_100new.md;data/processed/tp_100_plano_electrico_tp_100new.md;1176;25/5/2026 16:39;;;;;;;;;;;
DOC-0057;;;;;ventilador_crossvent_ifu_globe_trotter_gt5400_crossvent_2i_mu21764.md;data/processed/ventilador_crossvent_ifu_globe_trotter_gt5400_crossvent_2i_mu21764.md;241747;25/5/2026 16:39;;;;;;;;;;;
